user_id,task_order,task_id,base_task_id,annotation_round,sample_id,field_a,field_b,display_order,batch_id
merged_50_1,1,1147d3fa11cd610e3ce30720afb93af6-3-1__candidate_1_vs_candidate_2__r1,1147d3fa11cd610e3ce30720afb93af6-3-1__candidate_1_vs_candidate_2,1,1147d3fa11cd610e3ce30720afb93af6-3-1,candidate_1,candidate_2,AB,assignment_v1
merged_50_1,2,bc22a9943eca41dc802cda439c4b5077-8-1__candidate_1_vs_candidate_3__r1,bc22a9943eca41dc802cda439c4b5077-8-1__candidate_1_vs_candidate_3,1,bc22a9943eca41dc802cda439c4b5077-8-1,candidate_1,candidate_3,BA,assignment_v1
merged_50_1,3,6c7d79ff5087356aebeb8950e8c17df4-2-1__candidate_2_vs_candidate_3__r1,6c7d79ff5087356aebeb8950e8c17df4-2-1__candidate_2_vs_candidate_3,1,6c7d79ff5087356aebeb8950e8c17df4-2-1,candidate_2,candidate_3,AB,assignment_v1
merged_50_1,4,95ff1886a52701c34fad1227ba9afebe-3-1__candidate_3_vs_candidate_4__r1,95ff1886a52701c34fad1227ba9afebe-3-1__candidate_3_vs_candidate_4,1,95ff1886a52701c34fad1227ba9afebe-3-1,candidate_3,candidate_4,BA,assignment_v1
merged_50_1,5,902e25234c85df41407b2c6f8cc36e5f-1-1__candidate_1_vs_candidate_4__r1,902e25234c85df41407b2c6f8cc36e5f-1-1__candidate_1_vs_candidate_4,1,902e25234c85df41407b2c6f8cc36e5f-1-1,candidate_1,candidate_4,AB,assignment_v1
merged_50_1,6,cbabb37e351fabfc8a49ba69cea34472-3-1__candidate_2_vs_candidate_4__r1,cbabb37e351fabfc8a49ba69cea34472-3-1__candidate_2_vs_candidate_4,1,cbabb37e351fabfc8a49ba69cea34472-3-1,candidate_2,candidate_4,AB,assignment_v1
merged_50_1,7,d73cf330c3a1df3dc282b01ce2a31c74-8-1__candidate_2_vs_candidate_3__r1,d73cf330c3a1df3dc282b01ce2a31c74-8-1__candidate_2_vs_candidate_3,1,d73cf330c3a1df3dc282b01ce2a31c74-8-1,candidate_2,candidate_3,AB,assignment_v1
merged_50_1,8,9afa3fbd21b4dce4f07395174d572d7c-2-1__candidate_3_vs_candidate_4__r1,9afa3fbd21b4dce4f07395174d572d7c-2-1__candidate_3_vs_candidate_4,1,9afa3fbd21b4dce4f07395174d572d7c-2-1,candidate_3,candidate_4,BA,assignment_v1
merged_50_1,9,796e7a80a091d1f4344810c4fcc07029-2-1__candidate_2_vs_candidate_4__r1,796e7a80a091d1f4344810c4fcc07029-2-1__candidate_2_vs_candidate_4,1,796e7a80a091d1f4344810c4fcc07029-2-1,candidate_2,candidate_4,AB,assignment_v1
merged_50_1,10,0a3c85c5bbb59e41bfe0850f7ecee097-3-1__candidate_1_vs_candidate_4__r1,0a3c85c5bbb59e41bfe0850f7ecee097-3-1__candidate_1_vs_candidate_4,1,0a3c85c5bbb59e41bfe0850f7ecee097-3-1,candidate_1,candidate_4,AB,assignment_v1
merged_50_1,11,baa91fd7558c9dffe4b3a89cab2b78bf-1-1__candidate_1_vs_candidate_2__r1,baa91fd7558c9dffe4b3a89cab2b78bf-1-1__candidate_1_vs_candidate_2,1,baa91fd7558c9dffe4b3a89cab2b78bf-1-1,candidate_1,candidate_2,AB,assignment_v1
merged_50_1,12,b8df2f1570ff3134b31a046c15b34319-2-1__candidate_1_vs_candidate_3__r1,b8df2f1570ff3134b31a046c15b34319-2-1__candidate_1_vs_candidate_3,1,b8df2f1570ff3134b31a046c15b34319-2-1,candidate_1,candidate_3,AB,assignment_v1
merged_50_1,13,cfdedccf2aba90d114eb6f497efca499-2-1__candidate_2_vs_candidate_3__r1,cfdedccf2aba90d114eb6f497efca499-2-1__candidate_2_vs_candidate_3,1,cfdedccf2aba90d114eb6f497efca499-2-1,candidate_2,candidate_3,BA,assignment_v1
merged_50_1,14,bfd20a047ba53a457e1e90a24faa2ddc-1-1__candidate_1_vs_candidate_4__r1,bfd20a047ba53a457e1e90a24faa2ddc-1-1__candidate_1_vs_candidate_4,1,bfd20a047ba53a457e1e90a24faa2ddc-1-1,candidate_1,candidate_4,BA,assignment_v1
